,en,zh,es,hi,ar,pt,ru,ja,jv,de,ko,fr,te,it,tl
theology,Theology,神学,Teología,धर्मशास्र,علم اللاهوت,Teologia,Теология,神学,Teologi,Theologie,신학,Théologie,వేదాంతం,Teologia,Teolohiya
nails,Nails,钉子,Clavos,नाखून,الأظافر,Unhas,Гвозди,爪,Kuku,Nägel,손톱,Clous,నెయిల్స్,Unghia,Pako
evident,Evident,明显,Evidente,प्रत्यक्ष,واضح,Evidente,Очевидно,明らか,Nyata,Offensichtlich,분명한,Évident,స్పష్టంగా,Evidente,Maliwanag
whats,Whats,什么是,Qué,क्या,ما هى,O que é,Что-л,いただきました,Opo wae,Was ist?,뭐야?,Quoi,Whats.,Che cosa,Ano
rides,Rides,骑,Paseos,सवारी,ركوب الخيل,Passeios,Походка,乗る,Nitih,Reitet,타기,Monte,రైడ్స్,Cavalcate,Rides
rehab,Rehab,康复,Rehabilitación,पुनर्वास,رحاب,reabilitação,Реабилитация,リハーブ,Rehab,Reha,재활자,Désintox,పునరావాసం,Riabilitazione,Rehab.
epic,Epic,史诗,Épico,महाकाव्य,الملحم,Épico,Эпический,すごい,Epik,Epos,서사시,Épique,ఎపిక్,Epico,Epic.
saturn,Saturn,土星,Saturno,शनि ग्रह,زحل,Saturno,Сатурн,土星,Saturnus,Saturn,토성,Saturne,సాటర్న్,Saturno,Saturn.
organizer,Organizer,组织者,Organizador,व्यवस्था करनेवाला,منظم,Organizador,Организатор,オーガナイザー,Organisasi,Veranstalter,조직자,Organisateur,ఆర్గనైజర్,Organizzatore,Organizer.
nut,Nut,坚果,Nuez,काष्ठफल,بندق,Porca,Орех,ナット,Nut,Nuss,너트,Noix,నట్,Noce,Nut
allergy,Allergy,过敏,Alergia,एलर्जी,حساسية,Alergia,Аллергия,アレルギー,Alergi,Allergie,알레르기,Allergie,అల్లర్లు,Allergia,Allergy.
sake,Sake,清酒,Motivo,कारण,مصلحة,Interesse,Сакэ,酒,Sake,Gunst,동기,Saké,మాట్త,Interesse,Alang-alang
twisted,Twisted,扭曲,Retorcido,मुड़,ملتوية,Torcido,Скрученный,ねじれた,Bengkong,Verdrehte,꼬인,Tordu,వక్రీకృత,Contorto,Baluktot
combinations,Combinations,组合,Combinaciones,युग्म,مجموعات,Combinações,Комбинации,組み合わせ,Kombinasi,Kombinationen,조합,Combinaisons,కాంబినేషన్లు,Combinazioni,Mga kumbinasyon
preceding,Preceding,前,Anterior,के पिछले,مسبق,Precedente,Предыдущий,前の,Sadurunge,Vorhergehenden,선행,Précédent,ముందువైపు,Precedente,Nauna
merit,Merit,优点,Mérito,योग्यता,استحقاق,Mérito,Цена,メリット,Merit,Verdienst,장점,Mérite,మెరిట్,Merito,Merit.
enzyme,Enzyme,酶,Enzima,एनजाइम,إنزيم,Enzima,Фермент,エンザイム,Enzim,Enzym,효소,Enzyme,ఎంజైమ్,Enzima,Enzyme
cumulative,Cumulative,累积,Acumulativo,संचयी,تراكمي,Cumulativo,Совокупность,累積的な,Kumulatif,Kumulativ,누적,Cumulatif,సంకలనం,Cumulativo,Pinagsama
zshops,Zshops,ZShops.,Zshops,Zshops,zshops.,Zshops.,Zshops.,Zshops.,ZSHOPS,Zshops.,zshops.,Zshops,Zshops,Zshops.,Zshops.
planes,Planes,刨,Aviones,विमान,طائرات,Aviões,Самолеты,飛行機,Pesawat,Flugzeuge,비행기,Avions,విమానాలు,Aerei,Mga eroplano
edmonton,Edmonton,埃德蒙顿,Edmonton,एडमंटन,ادمونتون,Edmonton.,Эдмонтон,エドモントン,Edmonton,Edmonton,에드먼턴,Edmonton,ఎడ్మోన్టన్,Edmonton.,Edmonton.
tackle,Tackle,处理,Entrada,पकड़ना,يتصدى,Enfrentar,Снасти,タックル,Tackle,Angehen,태클,S'attaquer à,Tackle,Attrezzatura,Harapin
disks,Disks,磁盘,Discos,डिस्क,الأقراص,Discos,Диски,ディスク,Disk,Festplatten,디스크,Disques,డిస్కులు,Dischi,Diss.
condo,Condo,公寓,Condominio,कोंडो,الشقة,Condomínio,Кондейский,併せて,Kondo,Wohnung,콘도,Condo,కాండో,Condominio,Condo.
pokemon,Pokemon,口袋妖怪,Pokemon,पोकीमॉन,بوكيمون,Pokemon.,Покемон,ポケットモンスター,Pokemon,Pokémon,포켓몬,Pokemon,పోకీమాన్,Pokemon,Pokemon
amplifier,Amplifier,放大器,Amplificador,एम्पलीफायर,المضخم,Amplificador,Усилитель звука,増幅器,Amplifier,Verstärker,증폭기,Amplificateur,యాంప్లిఫైయర్,Amplificatore,Amplifier.
ambien,Ambien,ambien.,Ambien,Ambien,ambien,Ambien.,Амиен,amb amb,Ambien,Schlaftablette,ambien.,Ambien,అంబెన్,Ambientale,Ambien.
arbitrary,Arbitrary,随意的,Arbitrario,मनमाना,افتراضى,Arbitrário,Произвольный,任意,Kasunyatan,Willkürlich,임의적 인 것,Arbitraire,ఏకపక్ష,Arbitrario,Arbitrary
prominent,Prominent,著名的,Prominente,प्रमुख,بارز,Proeminente,Видный,目立つ,Misuwur,Prominent,중요한,Important,ప్రముఖ,Prominente,Kilalang
retrieve,Retrieve,取回,Recuperar,पुनः प्राप्त करना,يسترد,Recuperar,Забрать,検索します,Nompo,Abrufen,검색하다,Récupérer,తిరిగి పొందడం,Recuperare,Kunin
lexington,Lexington,列克星顿,Lexington,लेक्सिंग्टन,ليكسينغتون,Lexington.,Лексингтон,レキシントン,Lexington,Lexington.,렉싱턴,Lexington,లెక్సింగ్టన్,Lexington.,Lexington.
vernon,Vernon,弗农,Vernón,वेरनॉन,فيرنون,Vernon.,Вернон,ヴァーノン,Vernon,Vernon,vernon.,Vernon,వెర్నాన్,Vernon.,Vernon.
sans,Sans,SAN.,Sans,बिना,سان,Sans.,Насыщать,サン,Sans,Sans.,Sans.,Sans,సాన్స,Sans.,Sans
worldcat,Worldcat,WorldCat.,De Worldcat,WorldCat,WorldCat.,WorldCat.,WorldCat,world world,Worldcat,Worldcat,세계화,Classe mondiale,వరల్డ్ కేట్,Worldcat.,Worldcat.
titanium,Titanium,钛,Titanio,टाइटेनियम,التيتانيوم,Titânio,Титан,チタン,Titanium,Titan,티탄,Titane,టైటానియం,Titanio,Titanium
irs,Irs,美国国税局,IRS,आईआरएस,مصلحة الضرائب,IRS.,IRS.,イッの,IRS,IRS.,자리,IRS,IRS.,IRS.,IRS.
fairy,Fairy,仙女,Hada,परी,جنية,Fadas,Сказочный,妖精,Fairy,Fee,요정,Fée,అద్భుత,Fata,Fairy.
builds,Builds,建立,Construir,बनाता,يبني,Constrói,Сборки,建てます,Mbangun,Baut,빌드,Construit,బిల్డ్స్,Builds.,Builds.
contacted,Contacted,联系,Contactado,व्यक्ति से संपर्क किया,اتصلت,Contactado,Связался с,contact,Hubungi,Kontaktiert,연락했다,Contacté,సంప్రదించింది,Contattato,Nakipag-ugnay
shaft,Shaft,轴,Eje,शाफ़्ट,الفتحة,Eixo,Вал,軸,Gagang,Welle,샤프트,Arbre,షాఫ్ట్,Lancia,Baras
lean,Lean,倾斜,Inclinarse,दुबला,يستند,Magro,Наклонять,傾く,Lean,Mager,기대다,Maigre,లీన్,Pendere,Lean
bye,Bye,再见,Adiós,अलविदा,وداعا,Tchau,до свидания,さよなら,Bye,Wiedersehen,안녕히 계세요,Au revoir,బై,Ciao,Bye
cdt,Cdt,CDT.,Cdt,सीडीटी,CDT.,Cdt.,CDT.,cd,CDT,Cdt.,CDT.,CDT,Cdt.,Cdt.,CDT.
recorders,Recorders,录音机,Grabadoras,अभिलेखक,المسجلات,Gravadores,Рекордеры,レコーダー,Rekam,Recorder,기록기,Constructeur,రికార్డర్లు,Registratori,Mga recorder
occasional,Occasional,偶然,Ocasional,प्रासंगिक,من حين لآخر,Ocasional,Случайно,偶発的な,Kadhangkala,Gelegentlich,가끔,Occasionnel,అప్పుడప్పుడు,Occasionale,Paminsan-minsan
leslie,Leslie,莱斯利,Leslie,लेस्ली,ليزلي,Leslie.,Лесли,レスリー,Leslie,Leslie,레슬리,Leslie,లెస్లీ,Leslie.,Leslie.
casio,Casio,卡西欧,Casio,कैसीओ,كاسيو,Casio.,Казио,カシオ,Casio,Casio.,카시오,Casio,కాసియో,Casio.,Casio
deutsche,Deutsche,德意志,Deutsche,ड्यूश,دويتشه,Deutsche.,Ошеломление,ドイツ,Deutsche,Deutsche,도이치,Deutsche,Deutsche.,Deutsche.,Deutsche.
ana,Ana,ANA.,Ana,एना,انا,Ana,Ана,アナの,Ana,Ana.,어록,Ana,అనా,Ana.,Ana.
postings,Postings,帖子,Publicación,तैनातियाँ,نشر,Postings.,Публикация,投稿,Kiriman,Buchungen,게시물,Messages,పోస్టింగ్స్,Registrazione,Mga pag-post
innovations,Innovations,创新,Innovaciones,नवाचार,الابتكارات,Inovações,Инновации,革新,Inovasi,Innovationen,혁신,Innovations,ఇన్నోవేషన్స్,Innovazioni,Mga Innovations.
kitty,Kitty,猫咪,gatito,किट्टी,كيتي,gatinha,Китти,キティ,Kitty,Kätzchen,고양이 새끼,Minou,కిట్టి,Gattino,Kitty.
postcards,Postcards,明信片,Tarjetas postales,पोस्टकार्ड,بطاقات بريدية,Cartões postais.,Открытки,はがき,KOSTCARD,Postkarten,엽서들,Cartes postales,పోస్ట్కార్డులు,Cartoline,Mga postkard
dude,Dude,伙,Tipo,लड़का,يا صديق,Cara,Чувак,お前,Wong lanang,Kumpel,녀석,Mec,డ్యూడ్,Tizio,Dude
drain,Drain,流走,Drenar,नाली,بالوعة,Ralo,Осушать,ドレイン,Saluran,Ablassen,물을 빼다,Égoutter,హరించడం,Drenare,Alisan ng tubig
monte,Monte,蒙特,Monte,मोंटे,مونتي,Monte,Монте,モンテの,Monte,Monte,몬테,Monte,మోంటే,Monte.,Monte.
fires,Fires,火灾,Incendios,आग,الحرائق,Incêndios,Пожары,焚く,Fires,Brunzig,화재,Les feux,మంటలు,Incendi,Apoy
algeria,Algeria,阿尔及利亚,Argelia,एलजीरिया,الجزائر,Argélia,Алжир,アルジェリア,Algeria,Algerien,알제리,Algérie,అల్జీరియా,Algeria.,Algeria.
blessed,Blessed,祝福,Bendito,भाग्यवान,مبروك,Abençoado,Благословенный,bless bless,Rahayu,Gesegnet,축복 받은,Béni,దీవెన,Benedetto,Pinagpala
luis,Luis,luis.,Luis,लुइस,لويس,Luis.,Луис,羅,Luis,Luis,루이스,Luis,లూయిస్,Luis.,Luis.
reviewing,Reviewing,审查,Revisión,की समीक्षा,مراجعة,Revendo,Рассмотрение,レビュー,Reviewing,Überprüfung.,검토,Révision,సమీక్షించడం,Revisione,Pagrepaso
cardiff,Cardiff,加卡迪夫,Cardiff,कार्डिफ,كارديف,Cardiff.,Кардифф,カーディフ,Cardiff,Kardiff,카디프,Cardiff,కార్డిఫ్,Cardiff,Cardiff
cornwall,Cornwall,康沃尔郡,Cornualles,कॉर्नवाल,كورنوال,Cornualha,Корнуолл,コーンウォール,Cornwall,Cornwall,콘월,Cornouailles,కార్న్వాల్,Cornovaglia,Cornwall.
favors,Favors,恩惠,Favores,एहसान,حسنات,Favores.,Овладение,恩恵を受ける,Nikmat,Favoriten,호의,Faveurs,సహాయాలు,Favori,Pabor sa
potato,Potato,土豆,Patata,आलू,البطاطس,Batata,Картошка,じゃがいも,Kentang,Kartoffel,감자,Pomme de terre,బంగాళాదుంప,Patata,Patatas
panic,Panic,恐慌,Pánico,घबराहट,هلع,Pânico,Паника,パニック,Geger,Panik,공황,Panique,భయాందోళనలు,Panico,Pagkasindak
explicitly,Explicitly,明确,Explícitamente,स्पष्ट रूप से,صراحة,Explicitamente,Явно,明示的に,Sacara eksplisit,Ausdrücklich,명시 적으로,Explicitement,స్పష్టంగా,Esplicitamente,Malinaw
sticks,Sticks,stick,Palo,चिपक जाती है,العصي,Gravetos,Палочки,スティック,Tongkat,Stöcke,스틱,Des bâtons,కర్రలు,Bastoncini,Sticks.
leone,Leone,leone.,Leona,लियोन,ليون,Leone.,Лена,レオネ,Leone,Leone,leone.,Léne,Leone.,Leone.,Leone.
transsexual,Transsexual,Transseyual.,Transexual,पारलैंगिक,المتحولين جنسيا,Transexual,Транссуаль,trans trans,Transsexual,Transsexuelle,트랜스 성,Transsexuel,ట్రాన్స్సెక్స్క్యువల్,Transessuale,Transsexual.
ez,Ez,EZ.,Ez,ईज़ी,إز,Ez,Эс,エズリー,Ez,Ez,ez.,EZ,Ez.,Ez.,Ez.
citizenship,Citizenship,国籍,Ciudadanía,सिटिज़नशिप,المواطنة,Cidadania,Гражданство,市民権,Kewarganegaraan,Staatsbürgerschaft,시민권,Citoyenneté,పౌరసత్వం,Cittadinanza,Pagkamamamayan
excuse,Excuse,借口,Excusa,क्षमा,عذر,Desculpa,Извинение,言い訳,Alesan,Entschuldigung,변명하다,Excuse,క్షమించు,Scusa,Dahilan
reforms,Reforms,改革,Reformas,सुधार,إصلاحات,Reformas,Реформы,改革,Pembaharuan,Reformen,개혁,Réformes,సంస్కరణలు,Riforme,Reporma
basement,Basement,地下室,Sótano,तहखाने,قبو,Porão,Подвал,地下,Ruang paling ngisor,Untergeschoss,최하부,Sous-sol,బేస్మెంట్,Seminterrato,Basement.
onion,Onion,洋葱,Cebolla,प्याज,بصلة,Cebola,Лук,玉ねぎ,Bawang,Zwiebel,양파,Oignon,ఉల్లిపాయ,Cipolla,Sibuyas
strand,Strand,缕,Hebra,किनारा,ساحل,Strand.,Прядь,ストランド,Strand,Strand,바닷가,Brin,స్ట్రాండ్,Filo,Strand.
pf,Pf,PF.,Pf,पीएफ,بفق,Pf.,ПФ,PF.,Pf,Pf.,pf.,Pf,Pf.,Pf.,PF.
sandwich,Sandwich,三明治,Emparedado,सैंडविच,ساندويتش,Sanduíche,Сэндвич,サンドイッチ,Roti lapis,Sandwich,샌드위치,Sandwich,శాండ్విచ్,Sandwich,Sandwich
uw,Uw,uw.,Uw,यूड,uw.,Uw.,Uw.,u,UW,Uw.,uw.,Uw,Uw.,Uw.,Uw.
lawsuit,Lawsuit,诉讼,Demanda judicial,मुकदमा,دعوى قضائية,Processo judicial,Иск,訴訟,Tuntutan,Klage,소송,Procès,దావా,Causa,LAWSUIT
alto,Alto,alto.,Alto,अल्टो,ألتو,Alto,Альта,アルト,Alto,Alt,알토,Alto,ఆల్టో,Alto.,Alto
informative,Informative,信息,Informativo,जानकारीपूर्ण,غنيا بالمعلومات,Informativo,Познавательный,有益な,Informatif,Informativ,유익한,Informatif,ఇన్ఫర్మేటివ్,Informativo,Nakapagtuturo
girlfriend,Girlfriend,女朋友,Novia,प्रेमिका,صديقة,Amiga,Подруга,彼女,Pacar,Freundin,여자 친구,Copine,స్నేహితురాలు,Fidanzata,Kasintahan
bloomberg,Bloomberg,彭博,Bloomberg,ब्लूमबर्ग,بلومبرج,Bloomberg.,Bloomberg,ブルームバーグ,Bloomberg,Bloomberg,블룸버그,Bloomberg,బ్లూమ్బెర్గ్,Bloomberg.,Bloomberg
cheque,Cheque,查看,Cheque,जाँच,التحقق من,Verifica,Проверить,チェック,Priksa,Prüfen,확인하다,Chèque,తనిఖీ,Dai un'occhiata,Check.
hierarchy,Hierarchy,等级制度,Jerarquía,पदानुक्रम,تسلسل,Hierarquia,Иерархия,階層,Hierarki,Hierarchie,계층,Hiérarchie,క్రమం,Gerarchia,Hierarchy
influenced,Influenced,影响,Influenciado,प्रभावित,تأثر,Influenciado,Влияние,影響を受ける,Dipengaruhi,Beeinflusst,영향을받는 것,Influencé,ప్రభావితం,Influenzato,Naimpluwensyahan
banners,Banners,横幅,Banners,बैनर,لافتات,Banners.,Баннеры,バナー,Spanduk,Banner,배너,Bannières,బ్యానర్లు,Banner,Mga banner
reject,Reject,拒绝,Rechazar,अस्वीकार,رفض,Rejeitar,Отклонять,拒絶,Nolak,Ablehnen,거부하다,Rejeter,తిరస్కరించు,Rifiutare,Tanggihan
eau,Eau,eau.,Eau,यौ,او.,Eau.,Воображение,ea,Eau,Eau.,eau.,Eau,Eau.,Eau.,Eau.
abandoned,Abandoned,弃,Abandonado,छोड़ा हुआ,متروك,Abandonado,Заброшенный,放棄された,Nilar,Verlassen,버려진,Abandonné,రద్దు చేయబడింది,Abbandonato,Inabandunang
bd,Bd,BD.,Bd,बीडी,بات,BD.,Ведущий,b,Bd,Bd.,BD.,Bd,Bd.,Bd.,BD.
circles,Circles,界,Círculos,मंडलियां,الدوائر,Círculos,Круги,輪,Bunder,Kreise,서클,Cercles,వృత్తాలు,Cerchi,Bilog
italic,Italic,斜体,Itálico,तिरछा,مائل,itálico,Читал,イタリック,Miring,Kursiv,이탤릭체,Italique,ఇటాలిక్,Corsivo,Italic.
beats,Beats,beat,Latidos,धड़कता है,نبض,Batidas,Бить,勝る,Ngalahake,Beats,비트,Beats,బీట్స్,Beats.,Beats.
merry,Merry,mer,Alegre,आनंदित,مرح,Alegre,Веселый,メリー,Merry,Fröhlich,즐거운,Joyeux,మెర్రీ,allegro,Maligaya
mil,Mil,米尔,Mil,हज़ार,ميل,Mil,Мил,ミルの,MIL,Mir,밀,Mil,మిల్,Mil.,Mil
scuba,Scuba,潜水,Escafandra autónoma,एक प्रकार का वृक्ष,سكوبا,Mergulho,Подкубар,スキューバ,Scuba,Skuba,스쿠버,Scaphandre autonome,స్కూబా,Scuba.,Scuba
gore,Gore,血块,Sangre,तिकोना कपड़ा,غور,Gore.,Гора,g g,Gore,Blut,핏덩어리,Sang,గోరే,Gore.,Gore.
complement,Complement,补充,Complemento,पूरक,تكملة,Complemento,Дополнение,補体,Nglengkapi,Ergänzen,보어,Complément,పూర్తి చేయడము,Complemento,Umakyat
cult,Cult,邪,Culto,पंथ,طائفة دينية,Culto,Культ,カルト,Kultus,Kult,숭배,Culte,సంస్కృతి,Culto,Kulto
dash,Dash,短跑,Pizca,पानी का छींटा,اندفاع,Traço,Бросаться,ダッシュ,Mlayu,Bindestrich,대시,Tiret,డాష్,Trattino,Dash.
passive,Passive,被动的,Pasivo,निष्क्रिय,مبني للمجهول,Passiva,Пассивный,受動的,Pasif,Passiv,수동적 인,Passif,నిష్క్రియాత్మ,Passivo,Passive.
mauritius,Mauritius,毛里求斯,Mauricio,मॉरीशस,موريشيوس,Maurício,Маврикий,モーリシャス,Mauritius,Mauritius,모리셔스,Maurice,మారిషస్,Mauritius.,Mauritius.
valued,Valued,重视,Valorado,महत्वपूर्ण,قيمة,Valorizado,Цена,貴方の,Rego,Geschätzt,가치있는 것,Estimé,విలువ,Valutato,Pinahahalagahan
cage,Cage,笼,Jaula,पिंजरा,قفص,Jaula,Клетка,ケージ,Kandhang,Käfig,새장,Cage,కేజ్,Gabbia,Kulungan
checklist,Checklist,清单,Lista de Verificación,जांच सूची,قائمة تدقيق,Lista de controle,Контрольный список,チェックリスト,Dhaptar,Checkliste,체크리스트,Liste de contrôle,చెక్లిస్ట్,Lista di controllo,Checklist.
requesting,Requesting,要求,Solicitando,बिनती करना,جاري الطلب,Solicitando,Просьба,request request,Panjaluk,Anfragen.,요청,Demandant,అభ్యర్థిస్తోంది,Richiedente,Humiling
courage,Courage,勇气,Coraje,साहस,شجاعة,Coragem,Храбрость,勇気,Wani,Mut,용기,Courage,ధైర్యం,Coraggio,Tapang
verde,Verde,佛得角,Verde,वर्डे,فيردي,Verde.,Укрытие,ヴェルデ,Verde,Verde.,베르데,Verbe,Verde.,Verde.,VERDE.
lauderdale,Lauderdale,劳代理,Lauderdale,Lauderdale,lauderdale.,Lauderdale.,Лаудердейл,ローダーデール,Lauderdale,Lauderdale,로더 데일,Lauderdale,Lauderdale.,Lauderdale.,Lauderdale.
scenarios,Scenarios,场景,Escenarios,परिदृश्यों,سيناريوهات,Cenários,Сценарии,シナリオ,Skenario,Szenarien,시나리오,Scénarios,దృశ్యాలు,Scenari,Mga sitwasyon
gazette,Gazette,公报,Gaceta,राज-पत्र,جازيت,Gazeta,Газета,g g,Gazette,Gazette,관보,Gazette,గెజెట్,Gazzetta,Gazette
hitachi,Hitachi,日立,Hitachi,Hitachi,هيتاشي,Hitachi.,Hitachi.,日立,Hitachi,Hitachi,히타치,Hitachi,హిటాచీ,Hitachi.,Hitachi.
divx,Divx,Divx.,Divis,Divx,سيفكس,Divx.,Диверс,ディビックス,Divx,Divx,이산의,Divex,Divx.,Divx.,Divx
extraction,Extraction,萃取,Extracción,निष्कर्षण,استخلاص,Extração,Экстракция,抽出,Ekstraksi,Extraktion,추출,Extraction,సంగ్రహణ,Estrazione,Pagkuha
batman,Batman,蝙蝠侠,hombre murciélago,बैटमैन,الرجل الوطواط,homem Morcego,Бэтмен,バットマン,Batman,Batman,배트맨,Homme chauve-souris,బాట్మాన్,Batman,Batman
elevation,Elevation,海拔,Elevación,ऊंचाई,ارتفاع,Elevação,Возвышение,elev,Mekha,Elevation,높이,Élévation,ఎత్తు,Elevazione,Elevation.
hearings,Hearings,听证会,Audiencias,सुनवाई,جلسات الاستماع,Audiências,Слушания,聴聞会,Pangrungon,Anhörungen,청문회,Audiences,విచారణ,Udienze,Mga pagdinig
coleman,Coleman,科尔曼,Coleman,COLEMAN,كولمان,Coleman.,Кобель,コールマン,Coleman,Coleman,콜레 맨,Coleman,కోల్మన్,Coleman,Coleman
hugh,Hugh,休,Hugh,ह्यूग,هيو,Hugh.,Хью,h.,Hugh,Hugh.,지하수,Hugh,హ్యూ,Hugh.,Hugh.
lap,Lap,l,Regazo,गोद,حجر,Colo,Колени,ラップ,Lap,Schoß,무릎,Genoux,ఒడి,Giro,Lap
utilization,Utilization,利用,Utilización,उपयोग,استغلال,Utilização,Использование,利用,Utilisasi,Nutzung,이용,Utilisation,వినియోగం,Utilizzo,Paggamit
beverages,Beverages,饮料,Bebidas,पेय,المشروبات,Bebidas,Напитки,飲料,Omben-omben,Getränke,음료수,Breuvages,బీవర్లు,Le bevande,Inumin
calibration,Calibration,校准,Calibración,कैलिब्रेशन,معايرة,Calibração,Калибровка,較正,Kalibrasi,Kalibrierung,구경 측정,Étalonnage,అమరిక,Calibrazione,Pagkakalibrate
jake,Jake,杰克,Jake,जेक,جيك,Jake,Джейк,ジェイク,Jaka,Jake.,제이크,Jake,జేక్,Jake.,Jake.
eval,Eval,求解,Examen,प्रभाव,التقييم,Eval.,Показывать,eval,Eval,Eval,eval.,Éventuellement,విశ్వాసం,Evalità,Eval.
efficiently,Efficiently,有效率的,Eficientemente,कुशलतापूर्वक,بكفاءة,Eficientemente,Эффективно,効率的,Kanthi efisien,Effizient,효율적으로,Efficacement,సమర్థవంతంగా,Efficientemente,Mahusay
anaheim,Anaheim,阿纳海姆,Anaheim,Anaheim,أنهايم,Anaheim.,Анахайм,アナハイム,Anaheim,Anaheim,애너하임,Anaheim,అనాహీం,Anaheim.,Anaheim
ping,Ping,p,Silbido,गुनगुनाहट,بينج,Ping.,пинг,p p,Ping,Klingeln,핑,Ping,పింగ్,Ping.,Ping
textbook,Textbook,教科书,Libro de texto,पाठयपुस्तक,الكتب المدرسية,Livro didático,Учебник,教科書,Buku teks,Lehrbuch,교과서,Cahier de texte,పాఠ్యపుస్తకం,Manuale,Aklat-aralin
dried,Dried,dried,Seco,सूखा,مجففة,Seco,Высушенный,乾燥させました,Pepe,Getrocknet,건조한,Séché,ఎండిన,Essiccato,Tuyo
entertaining,Entertaining,娱乐,Entretenido,मनोरंजक,مسلية,Divertido,Развлекательный,ent ent,Nglipur,Unterhaltsam,재미있는,Divertissant,వినోదాత్మక,Divertente,Kawili-wili
prerequisite,Prerequisite,前提,Requisito previo,शर्त,المتطلبات المسبقة,Pré-requisito,Предварительное условие,前提条件,Prasyarat,Voraussetzung,전제 조건,Prérequis,అంతఃపురము,Prerequisito,Paunang kinakailangan
luther,Luther,路德,Luther,लूथर,لوثر,Lutero,Лютерный,l l,Luther,Luther,루터,Luther,లూథర్,Luther,Luther.
frontier,Frontier,边境,Frontera,सीमांत,حدود,Fronteira,Пограничный,フロンティア,Frontier,Grenze,국경 지방,Frontière,సరిహద్దు,Frontiera,Duluhan
settle,Settle,定居,Resolver,रुकना,تسوية,Resolver,Решить,解決,Dumunung,Siedeln,해결하다,Régler,స్థిరపడటం,Fissare,Tumira
stopping,Stopping,stop,Parada,रोक,وقف,Parando,Остановка,停止,Mandheg,Anhalten.,멎는,Arrêt,ఆపటం,Fermandosi,Hihinto
refugees,Refugees,难民,Refugiados,शरणार्थियों,اللاجئون,Refugiados,Беженцы,難民,Pengungsi,Flüchtlinge,피난민,Réfugiés,శరణార్థులు,Rifugiati,Mga refugee
knights,Knights,骑士,Caballeros,शूरवीरों,فرسان,Cavaleiros,Рыцарь,騎士,Ksatria,Ritter,기사단,Chevalier,నైట్స్,Cavalieri,Knights.
hypothesis,Hypothesis,假设,Hipótesis,परिकल्पना,فرضية,Hipótese,Гипотеза,仮説,Hipotesis,Hypothese,가설,Hypothèse,పరికల్పన,Ipotesi,Hypothesis
palmer,Palmer,帕尔默,Palmero,बाज़ीगर,بالمر,Palmer.,Парень,パーマー,Palmer,Palmer,성지 순례자,Paleuse,పాల్మెర్,Palmer,Palmer
medicines,Medicines,药物,Medicamentos,दवाइयाँ,الأدوية,Remédios,Лекарства,薬,Obat-obatan,Medikamente,약,Médicaments,మందులు,Medicinali,Mga gamot.
flux,Flux,助势,Flujo,फ्लक्स,تدفق,Fluxo,Поток,フラックス,Flux,Fluss,유량,Flux,ఫ్లక్స్,Flusso,Pagkilos ng bagay
derby,Derby,德比,derby,डर्बी,ديربي,Derby.,дерби,デラビー,Derby,Derby,더비,Derby,డెర్బీ,Derby,Derby.
sao,Sao,SAO.,Sao,साओ,ساو,SAO.,Соус,sa,Sao,Sao.,사오,Sao,Sao.,Sao.,Sao.
peaceful,Peaceful,平静的,Tranquilo,शांतिपूर्ण,امن,Pacífico,Мирный,平和的,Tentrem,Friedlich,평화로운,Paisible,శాంతియుతం,"Tranquillo, calmo",Mapayapa
altered,Altered,改变了,Alterado,बदल,تغيير,Alterado,Изменено,変更されました,Diowahi,Geändert,변경,Altéré,మార్చబడినది,Alterato,Binago
pontiac,Pontiac,庞蒂亚克,Pontiac,पोंटिएक,بونتياك,Pontiac.,Понтиак,p p,Pontiac,Pontiac.,폰티악,Pontiac,పోంటియాక్,Pontiac.,Pontiac.
regression,Regression,回归,Regresión,वापसी,تراجع,Regressão,Регрессия,回帰,Regresi,Regression.,회귀 분리,Régression,రిలాడ్రిషన్,Regressione,Pagbabalik
doctrine,Doctrine,教义,Doctrina,सिद्धांत,عقيدة,Doutrina,Доктрина,教義,Doktrin,Lehre,교의,Doctrine,సిద్దాంతము,Dottrina,Doktrina
scenic,Scenic,景区,Escénico,सुंदर,خلابة,Cênica,Живописный,景色,Scenic,Szenisch,풍경화,Scénique,సుందరమైన,Scenico,Scenic.
trainers,Trainers,训练师,Entrenadores,प्रशिक्षकों,المدربون,Treinadores,Кросовки,トレーナー,Pelatih,Sportschuhe,트레이너,Formateurs,శిక్షకులు,Formatori,Trainer.
muze,Muze,蒙黛,Mujete,म्यूज़,مين,Muze.,Мозен,ムージー,Muhize,Muze,놈들,Muze,Muze.,Muze.,Muze.
enhancements,Enhancements,增强,Mejoras,संवर्द्धन,التحسينات,Aprimoramentos,Улучшения,機能強化,Dandan,Verbesserungen,개선 사항,Améliorations,మెరుగుదలలు,Miglioramenti,Mga Pagpapahusay
renewable,Renewable,可再生,Renovable,अक्षय,قابل للتجديد,Renovável,Возобновляемый,再生可能,Dianyari,Verlängerbar,재생 가능한,Renouvelable,పునరుద్ధరణ,Rinnovabile,Renewable.
intersection,Intersection,路口,Intersección,चौराहा,تداخل,Interseção,Пересечение,交差点,Persimpangan,Überschneidung,교차로,Intersection,ఖండన,Intersezione,Interseksyon
